Id	Kanji	Meaning	Onyomi	Kunyomi	PageNo
390	即	IMMEDIATE ・ NAMELY	ソク	すなわ.ち*	130
391	節	JOINT ・ INTERVAL ・ SEASON OF THE YEAR	セツ ・ セチ	ふし ・ -ぶし	130
392	筋	MUSCLE ・ THREADLIKE STRUCTURE	キン	すじ	130
393	等	EQUAL ・ CLASS	トウ	ひと.しい ・ -ら* ・ など*	131
394	均	EQUAL	キン		131
395	季	SEASON	キ		131
396	委	COMMIT	イ	ゆだ.ねる	131
397	穴	HOLE	ケツ	あな	132
398	空	SKY ・ AIR ・ EMPTY	クウ	そら ・ あ.く ・ あ.き ・ あ.ける ・ から ・ むな.しい* ・ す.く*	132
399	友	FRIEND	ユウ	とも	132
400	有	HAVE	ユウ ・ ウ	あ.る	132
401	左	LEFT	サ	ひだり	133
402	右	RIGHT	ウ ・ ユウ	みぎ	133
403	石	STONE	セキ ・ シャク ・ コク	いし	133
404	若	YOUNG	ジャク ・ ニャク	わか.い ・ わか- ・ も.しくわ ・ も.し*	133
405	苦	SUFFERING ・ BITTER	ク	くる.しい ・ -ぐる.しい ・ くる.しむ ・ くる.しめる ・ にが.い ・ にが.る	134
406	在	BE	ザイ	あ.る	134
407	存	EXIST	ソン ・ ゾン		134
408	干	DRY	カン	ほ.す ・ ほ.し- ・ -ぼ.し ・ ひ.る	134
409	刊	PUBLISH	カン		135
410	汗	SWEAT	カン	あせ	135
411	竿	POLE	カン	さお	135
412	利	ADVANTAGE ・ PROFIT	リ	き.く	135
413	害	HARM	ガイ		136
414	益	BENEFIT	エキ ・ ヤク	ま.す*	136
415	溢	SPILL OVER	イツ	あふ.れる ・ こぼ.れる ・ こぼ.す	136
